IDStazione Regione Latitudine Longitudine TimeLead Osservazione
1_451000 umbria 43.2467 12.1139 2020091 143.400393
1_129900 valle-aosta 45.8139 6.995830000000001 2020091 60.19994500000001
1_304200 liguria 44.455299 8.895610000000001 2020091 190.80000399999997
1_305200 liguria 44.366378999999995 8.4667 2020091 27.199999
1_295000 valle-aosta 45.578796000000004 7.123392999999999 2020091 19.800008000000002
1_311000 abruzzo 42.729721000000005 13.691667 2020091 75.599851
1_313400 abruzzo 42.188278000000004 14.215028 2020091 76.199952
1_313800 abruzzo 42.218193 14.388472 2020091 47.499998000000005
1_314900 ? 42.349109999999996 14.391805999999999 2020091 42.900023000000004
1_315500 abruzzo 42.250999 13.886528 2020091 41.799926
1_317400 abruzzo 42.371918 13.261944 2020091 89.49999599999998
1_318000 abruzzo 42.290638 13.289556 2020091 110.49999499999998
1_321000 abruzzo 41.994362 13.802714000000002 2020091 69.0
1_327000 abruzzo 42.095669 14.257945999999999 2020091 29.200000000000003
1_328000 abruzzo 42.365845 13.727184 2020091 51.0
1_332000 abruzzo 42.065670000000004 14.666587 2020091 24.599999999999998
1_334000 abruzzo 41.989883 14.248695000000001 2020091 55.00000000000001
1_336000 abruzzo 42.548439 13.477812 2020091 61.8
1_342000 abruzzo 42.608864000000004 13.768573000000002 2020091 26.399999999999995
1_343000 abruzzo 42.221973 14.142311999999999 2020091 73.60000099999999
1_339000 abruzzo 42.468781 14.194432 2020091 28.200001
1_327100 valle-aosta 45.683849 7.121503999999999 2020091 21.199946
1_337200 valle-aosta 45.604698 7.68 2020091 21.999997999999998
1_336900 valle-aosta 45.8522 7.848610000000001 2020091 66.80004400000001
1_336500 valle-aosta 45.649654 7.152872 2020091 19.400005000000004
1_336700 valle-aosta 45.6497 7.2508300000000006 2020091 22.600094000000002
1_336400 valle-aosta 45.748298999999996 7.825 2020091 24.800048
1_337100 valle-aosta 45.687298 7.856381 2020091 35.599613999999995
1_338900 valle-aosta 45.683601 7.613060000000001 2020091 16.19995
1_337300 valle-aosta 45.686901 7.4977800000000006 2020091 18.20007
1_357600 abruzzo 42.295444 13.985167 2020091 28.599973000000002
1_339100 valle-aosta 45.931098999999996 7.662780000000001 2020091 35.199946999999995
1_625000 lombardia 45.949721999999994 9.855 2020091 187.000007
1_429800 emilia-romagna 44.493301 11.3453 2020091 49.20000000000001
1_429900 emilia-romagna 44.475601 10.5086 2020091 55.8
1_430000 emilia-romagna 44.411097999999996 11.5969 2020091 37.000001000000005
1_430100 emilia-romagna 45.002499 10.0047 2020091 11.0
